ObjID, ObjX, ObjY, ObjLen, ObjWidth, ObjVel, ObjCourse;
1, -87.7771, 3, 0.5, 0.5, 0, 0;
1, -87.7771, -1, 0.5, 0.5, 0, 0;
1, -88.7151, 1, 0.5, 0.5, 0, 0;
1, -88.7151, 3, 0.5, 0.5, 0, 0;
1, -88.7151, -1, 0.5, 0.5, 0, 0;
1, -89.6493, 1, 0.5, 0.5, 0, 0;
1, -89.6493, 3, 0.5, 0.5, 0, 0;
1, -89.6493, -1, 0.5, 0.5, 0, 0;
1, -90.5795, 1, 0.5, 0.5, 0, 0;
1, -90.5795, 3, 0.5, 0.5, 0, 0;
1, -90.5795, -1, 0.5, 0.5, 0, 0;
1, -91.5052, 1, 0.5, 0.5, 0, 0;
1, -91.5052, 3, 0.5, 0.5, 0, 0;
1, -91.5052, -1, 0.5, 0.5, 0, 0;
1, -92.4262, 1, 0.5, 0.5, 0, 0;
1, -92.4262, 3, 0.5, 0.5, 0, 0;
1, -92.4262, -1, 0.5, 0.5, 0, 0;
1, -93.3425, 1, 0.5, 0.5, 0, 0;
1, -93.3425, 3, 0.5, 0.5, 0, 0;
1, -93.3425, -1, 0.5, 0.5, 0, 0;
1, -94.2541, 1, 0.5, 0.5, 0, 0;
1, -94.2541, 3, 0.5, 0.5, 0, 0;
1, -94.2541, -1, 0.5, 0.5, 0, 0;
1, -95.1607, 1, 0.5, 0.5, 0, 0;
1, -95.1607, 3, 0.5, 0.5, 0, 0;
1, -95.1607, -1, 0.5, 0.5, 0, 0;
1, -96.0622, 1, 0.5, 0.5, 0, 0;
1, -96.0622, 3, 0.5, 0.5, 0, 0;
1, -96.0622, -1, 0.5, 0.5, 0, 0;
1, -96.9585, 1, 0.5, 0.5, 0, 0;
1, -96.9585, 3, 0.5, 0.5, 0, 0;
1, -96.9585, -1, 0.5, 0.5, 0, 0;
1, -97.8495, 1, 0.5, 0.5, 0, 0;
1, -97.8495, 3, 0.5, 0.5, 0, 0;
1, -97.8495, -1, 0.5, 0.5, 0, 0;
1, -98.735, 1, 0.5, 0.5, 0, 0;
1, -98.735, 3, 0.5, 0.5, 0, 0;
1, -98.735, -1, 0.5, 0.5, 0, 0;
1, -99.615, 1, 0.5, 0.5, 0, 0;
1, -99.615, 3, 0.5, 0.5, 0, 0;
1, -99.615, -1, 0.5, 0.5, 0, 0;
1, -100.489, 1, 0.5, 0.5, 0, 0;
1, -100.489, 3, 0.5, 0.5, 0, 0;
1, -100.489, -1, 0.5, 0.5, 0, 0;
1, -101.358, 1, 0.5, 0.5, 0, 0;
1, -101.358, 3, 0.5, 0.5, 0, 0;
1, -101.358, -1, 0.5, 0.5, 0, 0;
